CustomerType,ArrivalTime,SQ1,SQ2,SQ3,SQ5,SQ5,SQ6,SQ7,SQ8,LES,NbAgents,WaitingTime
30560,32294.0,0,0,0,0,0,0,0,0,0.0,0,20.0
30172,32271.0,0,0,0,0,0,0,0,0,0.0,0,5.0
30175,32466.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,31911.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32535.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32355.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32518.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32377.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,32140.0,0,1,0,0,0,0,0,0,0.0,0,1.0
30179,32330.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32473.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,32637.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32366.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32279.0,0,0,0,0,0,0,0,0,0.0,0,10.0
30560,32108.0,0,1,0,0,0,0,0,0,0.0,0,19.0
30172,32665.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32040.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32403.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32521.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32482.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32659.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32677.0,1,0,0,0,0,0,0,0,0.0,0,1.0
30179,32746.0,0,1,0,0,0,0,0,0,0.0,0,1.0
30175,32469.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32739.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32684.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32462.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32585.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30560,32355.0,0,0,1,0,0,0,0,0,0.0,0,1.0
30560,32758.0,1,0,0,0,0,0,0,0,0.0,0,1.0
30560,32768.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30560,32483.0,0,0,1,0,0,0,0,0,0.0,0,1.0
30560,32650.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32696.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30560,32582.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32717.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32715.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32868.0,0,0,1,0,0,0,0,0,0.0,0,0.0
30560,32643.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32626.0,1,0,0,0,0,0,0,0,0.0,0,1.0
30181,32605.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30175,32691.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32773.0,0,0,0,0,0,0,0,0,0.0,0,6.0
30560,32867.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,32347.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32681.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32876.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32748.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32676.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32691.0,1,0,0,0,0,0,0,0,0.0,0,1.0
30560,32749.0,0,0,0,1,0,0,0,0,0.0,0,1.0
30175,32757.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32711.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32430.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32513.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30181,32421.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32736.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32865.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32760.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32628.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32720.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32793.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32921.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30560,32906.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32931.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32686.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32934.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32833.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32951.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32625.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32891.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32883.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32989.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32706.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33126.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32822.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32827.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,33066.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,32746.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32975.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,33027.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32915.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33122.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33098.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33137.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33129.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32964.0,0,0,0,1,0,0,0,0,0.0,0,1.0
30172,32761.0,0,0,1,0,0,0,0,0,0.0,0,2.0
30560,32082.0,0,1,0,0,0,0,0,0,0.0,0,25.0
30175,33280.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33004.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32665.0,0,1,0,0,0,0,0,0,0.0,0,1.0
30560,33074.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33261.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,33355.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,32879.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,33306.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30179,33158.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,33315.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30175,33396.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,32550.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33362.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30172,33105.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,33233.0,1,0,0,0,0,0,0,0,0.0,0,1.0
30560,33420.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33182.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33381.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33232.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,33107.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33415.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33318.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33240.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30175,33228.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,33344.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30560,33447.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30175,33349.0,0,0,0,0,0,0,0,0,0.0,0,0.0
30172,33310.0,0,0,0,0,0,0,0,0,0.0,0,1.0
30181,32746.0,0,1,0,0,1,0,0,0,0.0,0,1.0
30175,33365.0,0,0,0,0,0,0,0,0,0.0,0,1.0
